gene_symbol	D_meta	P_diffusion	group
PCNA	1.3568439091818685	0.0026297055621016495	CAP_up
CXCR1	12.302028521785353	0.0026271692051430045	CAP_up
UBE2N	-0.3110264736588725	0.002625598788583952	background
AURKB	7.64144840049476	0.0026252035190128184	CAP_up
PDE4B	0.1478551320160646	0.0026229355019496024	background
ADORA3	1.37218909034637	0.002619819066374025	CAP_up
PYGL	17.429165197458	0.002618975399266583	CAP_up
PLK4	0.5538475755925809	0.0026118163788323317	background
TGM2	-3.1134984377285733	0.002610132944416194	CAP_down
IDH1	7.735023431339663	0.002607644704409748	CAP_up
NEK2	6.727744509372695	0.0026056811530786816	CAP_up
VCP	1.9771595302933875	0.0026045796413380023	CAP_up
PLK1	2.9476734145369687	0.0026030088353937155	CAP_up
TOP1	3.165803975933544	0.002601933430898398	CAP_up
ABCC1	-0.0979415126242888	0.002599667876077334	background
PDE5A	0.1927732285117557	0.0025974694895290608	background
LDHA	9.83696981019296	0.0025959142987961002	CAP_up
KDM7A	3.753365892499261	0.002594456799180002	CAP_up
FUT7	13.766288179873497	0.002585928427986288	CAP_up
MAN1B1	-0.0718619325979056	0.002585351829275198	background
NUAK1	-4.737162584151073	0.002583443187770278	CAP_down
KMT2A	-3.696821485163228	0.0025795992155091454	CAP_down
ADRA2A	-0.0542547151003605	0.0025795227616569284	background
APOBEC3G	-0.0407223018651157	0.002579145175100746	background
NEK6	1.5529514791938683	0.002568863957882903	CAP_up
ACP1	-1.2243241565366938	0.002564413500208982	CAP_down
EBP	0.0349684384176819	0.002564197421170639	background
MIF	-0.2380463779724543	0.0025601478830466675	background
GPBAR1	-0.3279175807954128	0.0025586772024008093	background
POLA1	-1.1310975179635745	0.002550907260790967	CAP_down
SAE1	-0.2140387584178418	0.0025499556644122635	background
XPO1	0.0446698386682681	0.0025423801540104783	background
ATR	-2.56914701140062	0.002539577703010009	CAP_down
GBA2	1.9143972717321576	0.0025148924372386167	CAP_up
CA4	33.509087643252144	0.0025099780703214886	CAP_up
CA13	-0.294062990772713	0.0024630541871921183	background
CA5B	-6.812892365363047	0.0024630541871921183	CAP_down
FMO4	-5.566820615700968	0.0015881702475202396	CAP_down
VRK3	0.7660548897551567	0.001560476169839727	background
HSD11B1L	-0.3506186693175769	0.00155358803039135	background
SPNS3	-4.4056724332553365	0.0015020345031857077	CAP_down
CHRFAM7A	3.404763882526768	0.0014917128300494067	CAP_up
NCOA7	0.8617752223425619	0.001469531977625939	background
GPRC5C	1.4334293420390627	0.0014571308518574334	CAP_up
ATAT1	-0.3510685368584694	0.0014404493844212792	background
NCEH1	-0.1120050765755103	0.0014323893452385277	background
CNRIP1	-0.1076725780545965	0.0014284040066691486	background
TCF20	0.3194180866524622	0.0014168275843996522	background
ZNF467	7.626520399964983	0.0014148304646538004	CAP_up
AFAP1	-4.998548636609556	0.0013972653277854786	CAP_down
CLEC11A	0.0927002998692553	0.0013958702074398826	background
TTC9C	0.0495627102289166	0.0013871310413902228	background
ECM1	3.232162652610743	0.00138671878676763	CAP_up
FIZ1	-0.2331246115189502	0.001386143754984738	background
GLCCI1	-0.1592494336053505	0.0013838721469304383	background
TSSK6	-0.0378287025642408	0.0013835530752723652	background
SPNS1	-0.7096748786156691	0.0013826260970397745	background
ZNF165	-0.8870363220083045	0.0013817154118087249	background
RNF207	-3.703818000506672	0.0013809349039140975	CAP_down
PRXL2A	-5.325726871029694	0.0013804021433493389	CAP_down
GPRASP1	-8.303058116761543	0.0013799489123364306	CAP_down
SUCNR1	8.371298661345275	0.0013780392066054955	CAP_up
DAP	1.7428122176621956	0.0013763744844936105	CAP_up
LILRA5	19.05045299307304	0.0013745475807375722	CAP_up
ANKH	-1.5565012565581895	0.0013721097957918077	CAP_down
ZNF296	-0.0784261840030026	0.0013586115471341082	background
PIM2	0.11165842051723	0.0013572392213725849	background
TMCC2	0.8917483631714427	0.001357192084400688	background
SLC4A8	-5.3557271367071575	0.0013566677664108944	CAP_down
MARCO	1.0339847136672788	0.001353189263948912	CAP_up
PHLDA1	0.0607860522525182	0.001330143176492133	background
ZFAND1	-1.954452652532205	0.0013022898207432838	CAP_down
MANEA	-0.6236864352510041	0.00129267591462873	background
TASP1	-5.261260439492103	0.001289799607880142	CAP_down
