library	input_set	Term	Adjusted.P.value	P.value	Odds.Ratio	Combined.Score	Genes
Reactome_2022	CAP_up	Signaling By High-Kinase Activity BRAF Mutants R-HSA-6802948	0.000429478264636789	6.27114059734709e-05	4.55162889250444	44.0459635604077	MAP2K2;YWHAB;ITGB3;ITGA2B;ARRB2;IQGAP1;RNASE3;APBB1IP;RAP1A;MAPK1;CSK;TLN1;MARK3;MAPK3
Reactome_2022	CAP_up	G1/S Transition R-HSA-69206	0.000429478264636789	6.27187829170637e-05	2.30740481015974	22.32840928454	RB1;PSMD12;CDKN1A;PCNA;PSMD13;GMNN;MCM10;TYMS;PPP2CA;PSMD9;PSMD6;CCNB1;CDC45;PSMD4;PSMB3;PSMD2;UBC;E2F1;TK1;CDT1;RRM2;CDC25A;PSMB8;PSMB9;DHFR;CCNA2;CDK7;PSMA4;TFDP1;CCNE2;PSME3;PSMC1;RPA4;CDK1;MCM4
Reactome_2022	CAP_up	ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389	0.000429478264636789	6.2781727229125e-05	3.75253174317586	36.3089211127776	H2AX;H2AZ1;H2AC6;H2BC5;CBX3;H2AC7;H2BC4;H2BC17;GATAD2A;H2BC12;H2AJ;H3C13;H4C15;H2BC21;H2AC20;H2BC11;H3-3B
Reactome_2022	CAP_up	Regulation Of Complement Cascade R-HSA-977606	0.000429478264636789	6.2781727229125e-05	3.75253174317586	36.3089211127776	C1QB;C1QA;CR1;C5AR2;C5AR1;C4BPA;CLU;C4A;C5;C3AR1;SERPING1;CD59;HNRNPC;CD46;CD55;ELANE;C1QC
Reactome_2022	CAP_up	SIRT1 Negatively Regulates rRNA Expression R-HSA-427359	0.000443512763232629	6.50979354148131e-05	4.21251348435814	40.6070196435045	H2AX;H2AZ1;H2AC6;H2BC5;H2AC7;H2BC4;H2BC17;H2BC12;H2AJ;H3C13;H4C15;H2BC21;H2AC20;H2BC11;H3-3B
Reactome_2022	CAP_up	Interleukin-12 Family Signaling R-HSA-447115	0.000501813108350454	7.3954557137567e-05	3.35625289366737	31.9248780476785	IL10;SERPINB2;GSTO1;STAT3;TALDO1;MSN;IL27;TYK2;LMNB1;TOX4;CDC42;CNN2;CA1;VAMP7;CAPZA1;P4HB;JAK2;AURKAIP1;S100A9
Reactome_2022	CAP_up	Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769	0.000523218725165502	7.77335695502447e-05	5.29248768472906	50.0787005677586	CASP9;CASP3;DAPK2;DAPK3;TNFSF10;LY96;RIPK1;FADD;CFLAR;TICAM1;TANK;TLR4
Reactome_2022	CAP_up	Insulin Receptor Recycling R-HSA-77387	0.000523218725165502	7.77335695502447e-05	5.29248768472906	50.0787005677586	ATP6V1A;ATP6V0B;ATP6V0E1;ATP6AP1;ATP6V1B2;ATP6V1H;TCIRG1;ATP6V1E1;ATP6V0D1;ATP6V1D;ATP6V1C1;ATP6V0A1
Reactome_2022	CAP_up	RHO GTPases Activate KTN1 R-HSA-5625970	0.000564969592949795	8.42735073015804e-05	14.3907015656746	135.005546601268	CDC42;KLC3;KIF5B;RHOG;KLC1;RNASE1;RHOA
Reactome_2022	CAP_up	RHOQ GTPase Cycle R-HSA-9013406	0.000587995064190738	8.80589266777299e-05	3.17095248651444	29.6087826245636	GIT2;CAV1;SNAP23;WWP2;IQGAP1;ARHGAP26;IQGAP3;MPP7;CDC42;PREX1;DEPDC1B;DIAPH3;CDC42EP4;DLC1;CDC42EP3;STOM;LAMTOR1;RHOQ;RAB7A;VAMP3
Reactome_2022	CAP_up	PPARA Activates Gene Expression R-HSA-1989781	0.000598739311251301	9.0025242503179e-05	2.35958927710013	21.9805662165927	ARHGAP9;ALAS1;SMARCD3;HMGCR;PKMYT1;MED16;MED18;HELZ2;MED12;RXRA;CPT2;EP300;ABCA1;ESRRA;NCOA1;MBD4;CPT1A;CDK19;CREBBP;ACSL1;NCOA6;NCOA3;NFYC;NR1H2;TXNRD1;MED8;G0S2;MED13L;ACOX1;MED20;PLIN2;PPARG
Reactome_2022	CAP_up	PI Metabolism R-HSA-1483255	0.000600339907255708	9.06241029449249e-05	2.7140433183283	25.2644602331618	ARF3;MTMR10;MTMR3;MTMR14;GDE1;INPPL1;PTEN;GDPD3;PIK3CB;MTMR4;PIK3CG;MTMR6;PIK3R5;INPP5D;PIP5K1A;PIP5K1B;PIP4K2C;TNFAIP8L2;SBF2;BMX;FIG4;RAB14;SYNJ1;PNPLA6;RAB5A
Reactome_2022	CAP_up	COPI-independent Golgi-to-ER Retrograde Traffic R-HSA-6811436	0.000613334671384206	9.29516745415206e-05	4.32379583033788	40.1396595072846	DCTN2;GALNT2;DCTN4;BICD2;DYNC1LI1;ACTR1A;DYNC1LI2;CAPZB;CAPZA1;CAPZA2;RAB18;RAB6A;ACTR10;PAFAH1B2
Reactome_2022	CAP_up	APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143	0.000629899511311645	9.58379328069627e-05	2.63785287329111	24.4076622159759	RB1;PSMD12;PSMD13;BUB1B;AURKB;AURKA;CDC20;PSMD9;PSMD6;CCNB1;PSMD4;PTTG1;PSMB3;PSMD2;UBC;NEK2;UBE2C;PLK1;PSMB8;PSMB9;CCNA2;PSMA4;UBE2S;PSME3;PSMC1;CDK1
Reactome_2022	CAP_up	Semaphorin Interactions R-HSA-373755	0.000662489691856023	0.000101191742908795	3.02016341923318	27.7809532674123	ARHGEF11;GSK3B;SEMA4A;HSP90AA1;ROCK1;SEMA4D;ROCK2;LIMK2;LIMK1;RNASE1;RHOA;RHOB;MYL12B;MYL6;TYROBP;CDK5;FES;MYH9;PLXNC1;TLN1;MYL9
Reactome_2022	CAP_up	Signaling By VEGF R-HSA-194138	0.000688056757114876	0.00010550750989172	2.45951057225321	22.5210703655232	NCF1;ROCK1;NCF2;ROCK2;ITGB3;NCF4;PIK3CB;CDC42;CTNNA1;PTK2B;NCKAP1L;VAV3;HSP90AA1;PRKCB;CAV1;SPHK1;PRKCD;CYBB;CYBA;MAPK14;RNASE1;RHOA;VAV1;MAPK13;MAPKAPK2;ABI1;ELMO2;CTNNB1;CRK
Reactome_2022	CAP_up	Interleukin-17 Signaling R-HSA-448424	0.000734268631830948	0.000113031806093308	2.89507432235499	26.3099760193369	MAP2K3;MEF2A;MAP2K4;JUN;DUSP3;CHUK;FOS;NOD2;MAPK14;NFKB1;IL17RA;PPP2CA;TNIP2;RPS6KA1;MAPKAPK2;UBC;MAPK1;TAB3;MAP3K8;TAB2;IKBKG;MAPK3
Reactome_2022	CAP_up	Meiotic Synapsis R-HSA-1221632	0.000743432741787153	0.000114886085992167	3.09149855907781	28.0447439670791	H2AX;H2AZ1;SYCP2;H2AC6;H2BC5;H2AC7;TINF2;H2BC4;BRCA1;H2BC17;REC8;LMNB1;H2BC12;H2AJ;STAG2;H4C15;H2BC21;RAD21;H2AC20;H2BC11
Reactome_2022	CAP_up	Meiosis R-HSA-1500620	0.000759432302813678	0.000118144338974133	2.59515546756725	23.4695569900386	H2AX;SYCP2;BRCA1;LMNB1;PSMC3IP;H3C13;H2BC21;RAD21;RBBP8;H3-3B;H2AZ1;H2AC6;H2BC5;H2AC7;TINF2;TOP3A;H2BC4;H2BC17;REC8;H2BC12;H2AJ;RAD51;STAG2;H4C15;H2AC20;H2BC11
Reactome_2022	CAP_up	Cyclin D Associated Events In G1 R-HSA-69231	0.000759432302813678	0.000118264815652965	3.50195513973851	31.6667243820732	RB1;CDKN2D;LYN;CDKN1A;CDKN2B;CDKN2C;PPP2R2A;PPP2CA;CCND3;CDK7;TFDP1;CCNE2;UBC;E2F1;E2F2;E2F3;JAK2
Reactome_2022	CAP_up	Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998	0.000786286486544166	0.000123385051289448	2.78963817766558	25.1073031839806	YWHAE;ARHGEF11;PSENEN;VAV3;ARHGEF37;BAD;PSEN1;RNASE1;VAV1;GNA13;AKAP13;PREX1;ABR;FGD4;NCSTN;APH1B;BCL2L11;CASP3;UBC;ARHGEF2;ECT2;SOS2;SQSTM1
Reactome_2022	CAP_up	RHOG GTPase Cycle R-HSA-9013408	0.000786286486544166	0.000123385051289448	2.78963817766558	25.1073031839806	VAV3;DOCK5;CAV1;RHOG;ARFGAP3;IQGAP2;VAV1;MPP7;CDC42;PREX1;DEPDC1B;DIAPH3;ARHGDIA;STBD1;ARHGDIB;ELMO2;STX5;LAMTOR1;LBR;YKT6;MAP3K11;RAB7A;VAMP3
Reactome_2022	CAP_up	Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206	0.00081272367068725	0.000128018525692979	2.3044458654461	20.6555216007478	ARHGAP9;ALAS1;SMARCD3;HMGCR;PKMYT1;MED16;MED18;HELZ2;MED12;RXRA;CPT2;EP300;ABCA1;ESRRA;NCOA1;MBD4;CPT1A;CDK19;CREBBP;ACSL1;NCOA6;NCOA3;NFYC;NR1H2;TXNRD1;MED8;G0S2;MED13L;ACOX1;MED20;PLIN2;PPARG
Reactome_2022	CAP_up	EGFR Downregulation R-HSA-182971	0.00083568814767707	0.000132134462490706	4.45997524653651	39.8351185335814	EGF;TGFA;PTPN12;CBL;EPN1;CDC42;HGS;UBC;SPRY2;GRB2;EPS15;STAM2;SH3GL1
Reactome_2022	CAP_up	RHOBTB GTPase Cycle R-HSA-9706574	0.000847982202530137	0.000135090243481829	4.11766115504433	36.6865801373002	RNF20;HSP90AA1;ROCK1;ROCK2;ACTN1;TMOD3;TXNL1;TWF1;RHOBTB1;ACTG1;PHIP;HNRNPC;VIM;DBN1
Reactome_2022	CAP_up	Regulation Of TNFR1 Signaling R-HSA-5357905	0.000847982202530137	0.000135090243481829	4.11766115504433	36.6865801373002	CHUK;USP4;SPPL2A;TNFAIP3;CFLAR;TANK;TNFRSF1A;UBC;TAX1BP1;RIPK1;FADD;IKBKG;RBCK1;BIRC2
