gene_symbol	D_meta	logFC_d	padj_d	logFC_v	padj_v
BCKDK	4.395662199862782	0.387919011547609	0.0002329858910337	0.900863674	6.2897392331250606e-09
MYO18A	0.5046631631796669	0.387918560378941	0.0125998945015333	0.222147215	0.059385553
CD2AP	-0.37877568434446174	-0.387888704668633	0.121493382195033	-0.326025838	0.058285291
SFTPD	-8.087319918053273	-0.387830063855205	0.418185719077823	-2.097870313	2.28070111249943e-08
DOLPP1	-0.3188520294171064	-0.387820501145237	0.0231335690760318	-0.036402723	0.810388121
PSMD10	-0.05713712520930826	-0.387814546932666	0.137297683484477	0.281086667	0.164733037
TRIM28	-0.47025275986836224	-0.387811538259705	0.0059669323229575	-0.153100699	0.309798376
GVINP1	-3.4822019824124295	-0.38779424257123	0.0222796707974845	-0.903773385	1.00585439324865e-07
MICU3	-9.337295825822451	-0.387790255070296	0.337097676869703	-1.918646114	1.30268866363293e-10
CDC123	3.4846334011109277	0.3877075979976	0.0008604618109013	0.912082843	4.59030879871415e-07
EXOSC5	-1.5733389941321205	-0.387689830332977	0.049978809814811	-0.813227171	0.000563581
NAXD	-0.814048126580901	-0.387600674342165	0.0017729954234984	-0.34374925	0.023226247
ASL	1.0723341726307112	0.387572802064726	0.0100221987005649	0.472594127	0.001262777
MRPS33	-0.6180554614944685	-0.387497080870671	0.0239219764080371	-0.504856333	0.062502304
NAV2	0.07332261891968647	0.387491679977513	0.405816015112941	-0.07720969	0.85829381
TTN	-6.57411656709716	-0.387279714541959	0.230611143305405	-2.082433653	6.37589897228982e-07
EXOC8	1.3881963156221653	-0.387251822718661	0.291552727160129	0.636604748	2.05650939399286e-05
MSH5	-1.978510705665029	0.387250907733486	0.0668620862401224	-0.901584023	1.27767032883531e-05
MSH5-SAPCD1	-0.40936066936208376	0.387250907733486	0.0668620862401224	-0.820568444	0.028042589
TMEM209	-2.4831342703794745	-0.387214382469613	0.0129025716353654	-0.646320032	2.80436992799673e-07
ZMPSTE24	3.674476723503684	0.387200085599865	1.28923207348865e-05	0.799926172	1.51178575628514e-07
ZBTB47	2.3423403495977113	0.387018782488673	0.381434643299625	0.90196182	9.67660300614661e-06
NCOA7	0.8617752223425619	0.387002083872255	0.0275063444937497	0.530027574	0.007720448
ZBTB8OS	1.5516680665672056	0.38692987928396	0.0002456261978648	0.454594493	0.000176128
TGS1	-0.48831037323493715	-0.386790252305792	0.156768537930501	-0.252902908	0.002339536
FTSJ1	-0.43511643837063174	-0.38670292462242	0.0180771286028674	-0.254313987	0.169152276
CACNA1H	-5.277144562069242	-0.386658403362449	0.294629183967813	-1.721101067	9.70280885828652e-07
HNRNPA3	0.3337383535486747	0.386568532409841	0.0115432283835784	-0.207424879	0.404357635
ZNF583	-2.4017768625608267	-0.386546971020162	0.137757935769044	-0.85316463	5.75120649167469e-06
ALDH7A1	-1.8473003413846063	-0.386484630020552	0.473220656859583	-0.970073607	0.000209353
C2CD2	-3.4357963112645447	-0.386465220373152	0.0043687391223644	-0.883817314	1.80574016480989e-07
SLC12A8	1.6055516892933968	0.386440816702719	0.211787548708221	0.984527252	0.001006989
DNAJB2	-0.3864794142612525	-0.386348897604504	0.0095811011991469	0.062086408	0.773672257
APBB3	1.0097159537371145	0.386348791319729	0.0107807139348494	0.515103667	0.003590516
ZSWIM4	1.5574923355312336	0.386331250818879	0.0002752651428819	0.519264626	0.000446658
POLD2	-1.312990349964029	-0.386284297620328	0.0234604070566936	-0.701763166	0.001429125
KRT10-AS1	-1.059192256493148	-0.386187207837151	0.106174757149659	-0.599579207	0.001242276
CCL3L1	-0.04932586901517821	-0.386099252741078	0.538236370885488	0.110955801	0.89734598
CCL3L3	-0.04932586901517821	-0.386099252741078	0.538236370885488	0.110955801	0.89734598
WDR5	-0.6596344371007827	-0.386082196322032	0.0187091332927802	-0.383812959	0.019993659
FAM168B	-0.6615062824437856	-0.386054265537346	0.0008522721036334	-0.17367111	0.160365565
FAM98A	0.184540338596464	0.38583895323424	0.112056557200564	0.031639344	0.844855813
ZNF654	0.6558423753629317	0.385824065558413	0.0246458780155201	0.328229452	0.007838157
DCHS1	-7.189029823768484	-0.385677643438061	0.308586311366266	-1.68102862	3.5645453930087702e-09
PCSK7	-3.7647285715380834	-0.385662139787391	0.0003814486724277	-0.961984868	3.49449854641969e-07
SPRED1	-6.237564570453687	-0.385585250355953	0.208591640160199	-1.781775332	1.3979147625121e-07
RNF141	2.6533519723607686	0.385581214596991	0.0196438848818047	0.896987186	6.5694441446818e-06
RNPEP	2.103979589391892	0.385492526427401	0.0021901027373957	0.671688333	1.82640646176154e-05
CCT6A	-0.3425260763113978	-0.385371445570176	0.0631953566899455	-0.277342118	0.157183153
ICAM2	-1.2433714545594183	-0.385344572892031	0.0058900680857705	-0.599455251	0.001927896
SGSH	1.0657982069548504	0.385247925665957	0.0353468576238544	0.557290098	0.001508607
MRPL11	-0.36739660544919117	-0.385140388679408	0.0169071705467286	-0.174309541	0.500797433
OR52K2	1.451599653791667	0.384996144608634	0.476088100938018	1.355164118	0.00889702
HDAC2	-0.033750973296697726	-0.384983567708974	0.319809952339922	0.1178056	0.090157721
EIF3H	-0.7050329356050208	-0.3849271536941	0.0005679088320226	-0.248682268	0.225837192
SLAMF8	0.022014220577507508	0.38486493443349	0.385687284319427	-0.24525923	0.339024779
ZHX2	-0.33923083894238365	-0.384722287755027	0.0364653803946105	-0.166052071	0.176241862
ZNF232	-1.5344339468082637	-0.384641087886008	0.0798976465245148	-0.653039022	8.85207565485737e-05
ASAH1	5.207042877988155	0.384576850777969	0.0276039193734179	1.162308328	3.49758118467119e-09
NDUFAF8	-0.5213720256184963	-0.38457216769534	0.0158663547401533	-0.370613979	0.113171933
SPG11	1.832466649589719	0.384516260642187	1.32751483661771e-05	0.515186193	0.000335877
ZNF471	-4.360687142159859	-0.38450897588163	0.404780000956129	-1.34988743	4.47681133286578e-07
ANKLE1	2.030063179597933	0.384502238249892	0.363051885965769	0.875830632	3.60940101694585e-05
EXOC4	-0.39483526291915044	-0.384427999268695	0.0086409622075118	0.031772639	0.771883716
PAN2	-0.8949062926871916	-0.384331263294889	0.0060056973565908	-0.551112758	0.020023325
PEX13	0.4696439513684551	0.384283775838106	0.0062494289378137	0.125562479	0.184155922
MR1	1.863402691954295	0.384139205291017	0.0062007997722844	0.6018962	1.64860340318982e-05
FBRS	3.257555555219164	0.384046812871523	4.57845420158841e-06	0.968290439	2.45025534763658e-05
